Código,Código control,Fecha siembra,Tratamiento,RetiroTratamiento,Agua inicial,Zona,Familia,Genero,Especie,Nombre común,Isla,Sitio específico,Latitud,Longitud,Sustrato,Altitud,Proyecto,Subproyecto
404,274,12/12/2013,Waterboxx®,6/2/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299585,-90.447403,Humífero,344.96,Restauración ecológica,Restauración rural
405,275,26/12/2013,Waterboxx®,14/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299595,-90.447425,Humífero,345.73,Restauración ecológica,Restauración rural
406,276,26/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299646,-90.447436,Humífero,345.93,Restauración ecológica,Restauración rural
407,277,12/12/2013,Waterboxx®,2/4/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299638,-90.447418,Humífero,346.46,Restauración ecológica,Restauración rural
408,336,26/12/2013,Waterboxx®,1/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299614,-90.447386,Humífero,346.22,Restauración ecológica,Restauración rural
409,332,12/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299607,-90.447346,Humífero,346.13,Restauración ecológica,Restauración rural
410,318,12/12/2013,Waterboxx®,28/5/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.299601,-90.447334,Humífero,346.48,Restauración ecológica,Restauración rural
415,316,2/10/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297949,-90.447112,Humífero,339.2,Restauración ecológica,Restauración rural
416,315,2/10/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297942,-90.44714,Humífero,338.97,Restauración ecológica,Restauración rural
417,347,2/10/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297933,-90.447165,Humífero,339.13,Restauración ecológica,Restauración rural
418,346,2/10/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297927,-90.447193,Humífero,339.57,Restauración ecológica,Restauración rural
419,345,2/10/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297928,-90.447222,Humífero,339.27,Restauración ecológica,Restauración rural
420,344,2/10/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297918,-90.447244,Humífero,339.27,Restauración ecológica,Restauración rural
421,319,13/11/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297906,-90.447127,Humífero,350.39,Restauración ecológica,Restauración rural
422,317,13/11/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297897,-90.447098,Humífero,350.53,Restauración ecológica,Restauración rural
423,319,13/11/2013,Waterboxx®,8/1/2014,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297892,-90.447058,Humífero,352.4,Restauración ecológica,Restauración rural
426,317,13/11/2013,Waterboxx®,26/12/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297805,-90.447204,Humífero,342.69,Restauración ecológica,Restauración rural
438,241,12/6/2013,Waterboxx®,13/11/2013,15,Húmeda,Asteraceae,Scalesia,pedunculata var. pedunculata Hook. f.,lechoso,,Anibal Sanmiguel,-1.297879,-90.446848,Humífero,358.81,Restauración ecológica,Restauración rural
